# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-03-23
#
# GRDC-No.:              6228920
# River:                 RIO TER
# Station:               TORROELLA DE MONTGRI (PONT DE TORROELLA)
# Country:               ES
# Latitude (DD):       42.035163
# Longitude (DD):      3.125381
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Spain - Agència Catalana de l'Aigua (Catalan Water Agency)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2001-06 - 2019-12
# No. of years:          19
# Last update:           2020-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6788
# DATA
YYYY-MM-DD;hh:mm; Value
2001-06-01;--:--;      1.552
2001-06-02;--:--;   -999.000
2001-06-03;--:--;   -999.000
2001-06-04;--:--;   -999.000
2001-06-05;--:--;   -999.000
2001-06-06;--:--;   -999.000
2001-06-07;--:--;   -999.000
2001-06-08;--:--;   -999.000
2001-06-09;--:--;   -999.000
2001-06-10;--:--;   -999.000
2001-06-11;--:--;   -999.000
2001-06-12;--:--;   -999.000
2001-06-13;--:--;   -999.000
2001-06-14;--:--;   -999.000
2001-06-15;--:--;   -999.000
2001-06-16;--:--;   -999.000
2001-06-17;--:--;   -999.000
2001-06-18;--:--;   -999.000
2001-06-19;--:--;   -999.000
2001-06-20;--:--;   -999.000
2001-06-21;--:--;   -999.000
2001-06-22;--:--;   -999.000
2001-06-23;--:--;   -999.000
2001-06-24;--:--;   -999.000
2001-06-25;--:--;   -999.000
2001-06-26;--:--;   -999.000
2001-06-27;--:--;   -999.000
2001-06-28;--:--;   -999.000
2001-06-29;--:--;      1.523
2001-06-30;--:--;      1.552
2001-07-01;--:--;      4.163
2001-07-02;--:--;   -999.000
2001-07-03;--:--;      1.089
2001-07-04;--:--;      1.256
2001-07-05;--:--;      1.163
2001-07-06;--:--;      1.318
2001-07-07;--:--;      0.822
2001-07-08;--:--;      0.679
2001-07-09;--:--;      0.600
2001-07-10;--:--;      0.600
2001-07-11;--:--;      0.600
2001-07-12;--:--;      0.600
2001-07-13;--:--;      0.685
2001-07-14;--:--;      0.820
2001-07-15;--:--;      1.014
2001-07-16;--:--;      3.015
2001-07-17;--:--;      2.310
2001-07-18;--:--;      2.103
2001-07-19;--:--;      2.122
2001-07-20;--:--;      4.163
2001-07-21;--:--;   -999.000
2001-07-22;--:--;   -999.000
2001-07-23;--:--;   -999.000
2001-07-24;--:--;   -999.000
2001-07-25;--:--;   -999.000
2001-07-26;--:--;   -999.000
2001-07-27;--:--;   -999.000
2001-07-28;--:--;   -999.000
2001-07-29;--:--;   -999.000
2001-07-30;--:--;   -999.000
2001-07-31;--:--;   -999.000
2001-08-01;--:--;   -999.000
2001-08-02;--:--;   -999.000
2001-08-03;--:--;   -999.000
2001-08-04;--:--;   -999.000
2001-08-05;--:--;   -999.000
2001-08-06;--:--;   -999.000
2001-08-07;--:--;   -999.000
2001-08-08;--:--;   -999.000
2001-08-09;--:--;   -999.000
2001-08-10;--:--;   -999.000
2001-08-11;--:--;   -999.000
2001-08-12;--:--;   -999.000
2001-08-13;--:--;   -999.000
2001-08-14;--:--;   -999.000
2001-08-15;--:--;   -999.000
2001-08-16;--:--;   -999.000
2001-08-17;--:--;   -999.000
2001-08-18;--:--;   -999.000
2001-08-19;--:--;   -999.000
2001-08-20;--:--;   -999.000
2001-08-21;--:--;   -999.000
2001-08-22;--:--;   -999.000
2001-08-23;--:--;   -999.000
2001-08-24;--:--;   -999.000
2001-08-25;--:--;   -999.000
2001-08-26;--:--;   -999.000
2001-08-27;--:--;   -999.000
2001-08-28;--:--;   -999.000
2001-08-29;--:--;   -999.000
2001-08-30;--:--;   -999.000
2001-08-31;--:--;   -999.000
2001-09-01;--:--;   -999.000
2001-09-02;--:--;   -999.000
2001-09-03;--:--;   -999.000
2001-09-04;--:--;   -999.000
2001-09-05;--:--;   -999.000
2001-09-06;--:--;   -999.000
2001-09-07;--:--;   -999.000
2001-09-08;--:--;   -999.000
2001-09-09;--:--;   -999.000
2001-09-10;--:--;   -999.000
2001-09-11;--:--;   -999.000
2001-09-12;--:--;   -999.000
2001-09-13;--:--;   -999.000
2001-09-14;--:--;   -999.000
2001-09-15;--:--;   -999.000
2001-09-16;--:--;   -999.000
2001-09-17;--:--;   -999.000
2001-09-18;--:--;   -999.000
2001-09-19;--:--;   -999.000
2001-09-20;--:--;   -999.000
