# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-03-19
#
# GRDC-No.:              6228920
# River:                 RIO TER
# Station:               TORROELLA DE MONTGRI (PONT DE TORROELLA)
# Country:               ES
# Latitude (DD):       42.035163
# Longitude (DD):      3.125381
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Spain - Agència Catalana de l'Aigua (Catalan Water Agency)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2001 - 2019
# No. of years:          19
# Last update:           2020-08-31
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 223
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
2001-06-01;--:--;   -999.000;   -999.000;  10
2001-07-01;--:--;   -999.000;   -999.000;  61
2001-08-01;--:--;   -999.000;   -999.000;   0
2001-09-01;--:--;   -999.000;   -999.000;   0
2001-10-01;--:--;   -999.000;      1.487;  90
2001-11-01;--:--;   -999.000;      1.854; 100
2001-12-01;--:--;   -999.000;      0.910; 100
2002-01-01;--:--;   -999.000;      1.664; 100
2002-02-01;--:--;   -999.000;      0.578; 100
2002-03-01;--:--;   -999.000;      0.529; 100
2002-04-01;--:--;   -999.000;     13.547; 100
2002-05-01;--:--;   -999.000;     23.021; 100
2002-06-01;--:--;   -999.000;   -999.000;  43
2002-07-01;--:--;   -999.000;   -999.000;   0
2002-08-01;--:--;   -999.000;   -999.000;   0
2002-09-01;--:--;   -999.000;   -999.000;   0
2002-10-01;--:--;   -999.000;   -999.000;   0
2002-11-01;--:--;   -999.000;   -999.000;   0
2002-12-01;--:--;   -999.000;   -999.000;   0
2003-01-01;--:--;   -999.000;   -999.000;   0
2003-02-01;--:--;   -999.000;   -999.000;   0
2003-03-01;--:--;   -999.000;    130.873;  87
2003-04-01;--:--;   -999.000;     55.571; 100
2003-05-01;--:--;   -999.000;     17.853; 100
2003-06-01;--:--;   -999.000;      4.041; 100
2003-07-01;--:--;   -999.000;      1.327; 100
2003-08-01;--:--;   -999.000;      1.779; 100
2003-09-01;--:--;   -999.000;      3.792; 100
2003-10-01;--:--;   -999.000;     20.563; 100
2003-11-01;--:--;   -999.000;     25.430; 100
2003-12-01;--:--;   -999.000;     82.533; 100
2004-01-01;--:--;   -999.000;      8.369; 100
2004-02-01;--:--;   -999.000;     13.740; 100
2004-03-01;--:--;   -999.000;     17.196; 100
2004-04-01;--:--;   -999.000;     77.724; 100
2004-05-01;--:--;   -999.000;     65.459; 100
